,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,TOTAL
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,0.00010113268608414239,0.09263754045307443
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,-0.00010474494605635278,0.09699382004818267
2020-05-16,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011178180192264699,0.10440420299575229
2020-05-17,,,,,,,,,,,,,,,,,,,,,,,,,-0.000120889748549323,0.10783365570599612
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.10972677595628416
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1119815668202765
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.12337867763366023
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.13606448273312136
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.16262078717888287
2020-05-23,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1759639048400328
2020-05-24,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.18376822360479153
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1736111111111111
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,
