FECHA,confirmed,deaths,estimation,ratio,new confirmed,new deaths,new estimated,new ratio,new confirmed (7d),new deaths (7d),new estimated (7d),new ratio (7d)
2020-06-01,6497,332,49500.0,0.13125252525252526,416,17,1400.0,0.29714285714285715,361.14285714285717,11.571428571428571,1757.1428571428573,0.20552845528455282
2020-06-02,6974,343,51500.0,0.13541747572815535,477,11,2000.0,0.2385,377.42857142857144,12.142857142857142,1728.5714285714284,0.21834710743801655
2020-06-03,7377,358,52800.0,0.13971590909090909,403,15,1300.0,0.31,412.0,14.0,1914.2857142857142,0.21522388059701494
2020-06-04,7763,371,54800.0,0.14166058394160583,386,13,2000.0,0.193,417.14285714285717,15.714285714285714,2000.0,0.20857142857142857
2020-06-05,8209,384,57100.0,0.14376532399299474,446,13,2300.0,0.19391304347826088,423.14285714285717,16.857142857142858,2157.1428571428573,0.196158940397351
2020-06-06,8764,405,59400.0,0.14754208754208753,555,21,2300.0,0.24130434782608695,452.2857142857143,16.714285714285715,2185.714285714286,0.2069281045751634
2020-06-07,9001,425,62100.0,0.14494363929146536,237,20,2700.0,0.08777777777777777,494.14285714285717,17.571428571428573,2242.8571428571427,0.22031847133757965
2020-06-08,9459,450,64600.0,0.14642414860681113,458,25,2500.0,0.1832,556.0,17.714285714285715,2457.1428571428573,0.22627906976744183
2020-06-09,10140,460,66800.0,0.15179640718562873,681,10,2200.0,0.30954545454545457,608.7142857142857,18.714285714285715,2542.8571428571427,0.23938202247191012
2020-06-10,10836,481,68500.0,0.15818978102189782,696,21,1700.0,0.40941176470588236,649.0,17.571428571428573,2742.8571428571427,0.23661458333333335
2020-06-11,11655,495,72000.0,0.161875,819,14,3500.0,0.234,684.1428571428571,17.571428571428573,2842.8571428571427,0.2406532663316583
2020-06-12,12470,515,74900.0,0.1664886515353805,815,20,2900.0,0.2810344827586207,718.7142857142857,17.285714285714285,2985.714285714286,0.24071770334928227
2020-06-13,13307,528,78600.0,0.1693002544529262,837,13,3700.0,0.2262162162162162,748.4285714285714,19.142857142857142,3342.857142857143,0.2238888888888889
2020-06-14,13790,548,82000.0,0.16817073170731708,483,20,3400.0,0.14205882352941177,803.1428571428571,20.0,3800.0,0.2113533834586466
2020-06-15,14490,571,85500.0,0.1694736842105263,700,23,3500.0,0.2,844.1428571428571,21.571428571428573,3857.142857142857,0.21885185185185185
2020-06-16,15379,594,90200.0,0.1704988913525499,889,23,4700.0,0.18914893617021278,893.8571428571429,21.857142857142858,3900.0,0.2291941391941392
2020-06-17,16458,621,95100.0,0.17305993690851734,1079,27,4900.0,0.22020408163265306,978.1428571428571,22.428571428571427,4042.857142857143,0.24194346289752647
2020-06-18,17564,646,99000.0,0.1774141414141414,1106,25,3900.0,0.2835897435897436,999.2857142857143,24.571428571428573,4457.142857142857,0.22419871794871798
2020-06-19,18727,668,102200.0,0.18323874755381606,1163,22,3200.0,0.3634375,1063.7142857142858,25.428571428571427,4785.714285714285,0.22226865671641793
2020-06-20,20154,685,106900.0,0.1885313376987839,1427,17,4700.0,0.30361702127659573,1145.2857142857142,27.428571428571427,4800.0,0.23860119047619047
2020-06-21,20785,720,113200.0,0.183613074204947,631,35,6300.0,0.10015873015873016,1193.142857142857,28.428571428571427,5071.428571428572,0.2352676056338028
2020-06-22,21936,749,119000.0,0.18433613445378152,1151,29,5800.0,0.19844827586206898,1284.142857142857,29.857142857142858,5571.428571428572,0.23048717948717948
2020-06-23,23396,786,123800.0,0.18898222940226173,1460,37,4800.0,0.30416666666666664,1380.857142857143,33.42857142857143,5885.714285714285,0.23461165048543692
2020-06-24,24810,820,130600.0,0.18996937212863707,1414,34,6800.0,0.20794117647058824,1389.7142857142858,38.0,6185.714285714285,0.22466512702078525
2020-06-25,26553,855,138000.0,0.19241304347826088,1743,35,7400.0,0.23554054054054055,1437.4285714285713,38.57142857142857,6585.714285714286,0.21826464208242946
2020-06-26,28393,902,143400.0,0.19799860529986052,1840,47,5400.0,0.34074074074074073,1466.2857142857142,39.0,6757.142857142857,0.21699788583509513
2020-06-27,29882,951,150200.0,0.198948069241012,1489,49,6800.0,0.2189705882352941,1507.7142857142858,40.42857142857143,7371.428571428571,0.20453488372093026
2020-06-28,30847,990,159300.0,0.19364092906465788,965,39,9100.0,0.10604395604395604,1561.857142857143,44.57142857142857,7657.142857142857,0.20397388059701493
2020-06-29,32200,1022,166300.0,0.1936259771497294,1353,32,7000.0,0.19328571428571428,1562.0,47.857142857142854,7514.285714285714,0.20787072243346008
2020-06-30,33950,1069,175400.0,0.193557582668187,1750,47,9100.0,0.19230769230769232,1606.4285714285713,48.0,7771.428571428571,0.20670955882352943
2020-07-01,35743,1132,184200.0,0.1940445168295331,1793,63,8800.0,0.20375,1709.7142857142858,50.714285714285715,8142.857142857143,0.20996491228070174
2020-07-02,37487,1190,190600.0,0.19667890870933893,1744,58,6400.0,0.2725,1724.142857142857,55.714285714285715,8285.714285714286,0.20808620689655172
2020-07-03,39638,1238,197800.0,0.2003943377148635,2151,48,7200.0,0.29875,1782.857142857143,58.857142857142854,8414.285714285714,0.21188455008488966
2020-07-04,41850,1306,207200.0,0.20197876447876448,2212,68,9400.0,0.2353191489361702,1838.4285714285713,61.857142857142854,8500.0,0.21628571428571428
2020-07-05,42916,1380,217300.0,0.19749654855039117,1066,74,10100.0,0.10554455445544554,1965.4285714285713,65.85714285714286,8771.42857142857,0.22407166123778502
2020-07-06,44680,1434,225200.0,0.19840142095914742,1764,54,7900.0,0.22329113924050634,2056.1428571428573,67.57142857142857,9357.142857142857,0.2197404580152672
2020-07-07,46819,1502,234900.0,0.19931460195828013,2139,68,9700.0,0.22051546391752577,2084.8571428571427,73.71428571428571,9700.0,0.21493372606774666
2020-07-08,49501,1593,245600.0,0.2015513029315961,2682,91,10700.0,0.25065420560747664,2084.0,76.57142857142857,10028.57142857143,0.2078062678062678
