FECHA,confirmed,deaths,estimation,ratio,new confirmed,new deaths,new estimated,new ratio,new confirmed (7d),new deaths (7d),new estimated (7d),new ratio (7d)
2020-06-21,20501,553,76300.0,0.2686893840104849,747,22,2400.0,0.31125,864.2857142857143,19.142857142857142,2357.1428571428573,0.36666666666666664
2020-06-22,21455,572,79200.0,0.27089646464646466,954,19,2900.0,0.3289655172413793,895.7142857142857,19.571428571428573,2485.714285714286,0.3603448275862069
2020-06-23,22435,594,81800.0,0.2742665036674817,980,22,2600.0,0.3769230769230769,921.0,20.285714285714285,2500.0,0.3684
2020-06-24,23390,609,83900.0,0.27878426698450537,955,15,2100.0,0.45476190476190476,906.5714285714286,20.428571428571427,2600.0,0.3486813186813187
2020-06-25,24412,631,87100.0,0.28027554535017224,1022,22,3200.0,0.319375,905.5714285714286,20.571428571428573,2685.714285714286,0.3371808510638298
2020-06-26,25393,652,88900.0,0.2856355455568054,981,21,1800.0,0.545,884.7142857142857,20.285714285714285,2657.1428571428573,0.33295698924731176
2020-06-27,26100,674,92100.0,0.28338762214983715,707,22,3200.0,0.2209375,877.7142857142857,20.714285714285715,2714.285714285714,0.3233684210526316
2020-06-28,26840,697,95100.0,0.28222923238696107,740,23,3000.0,0.24666666666666667,859.0,22.0,2857.1428571428573,0.30065
2020-06-29,27648,714,97800.0,0.2826993865030675,808,17,2700.0,0.2992592592592593,849.8571428571429,23.0,2928.5714285714284,0.29019512195121955
2020-06-30,28579,739,100800.0,0.2835218253968254,931,25,3000.0,0.31033333333333335,860.4285714285714,23.714285714285715,3328.5714285714284,0.25849785407725323
2020-07-01,29403,763,103900.0,0.2829932627526468,824,24,3100.0,0.2658064516129032,890.5714285714286,23.571428571428573,3600.0,0.24738095238095237
2020-07-02,30361,792,107600.0,0.2821654275092937,958,29,3700.0,0.25891891891891894,896.5714285714286,24.857142857142858,3757.142857142857,0.23863117870722433
2020-07-03,31416,818,112200.0,0.28,1055,26,4600.0,0.22934782608695653,918.5714285714286,25.0,4100.0,0.2240418118466899
2020-07-04,32334,839,117300.0,0.2756521739130435,918,21,5100.0,0.18,933.1428571428571,26.0,4200.0,0.2221768707482993
2020-07-05,33116,871,121400.0,0.27278418451400327,782,32,4100.0,0.19073170731707317,991.8571428571429,26.857142857142858,4300.0,0.23066445182724254
2020-07-06,34078,889,126500.0,0.2693913043478261,962,18,5100.0,0.18862745098039216,1005.4285714285714,26.571428571428573,4414.285714285715,0.22776699029126213
2020-07-07,35111,921,130200.0,0.26966973886328727,1033,32,3700.0,0.27918918918918917,996.1428571428571,27.142857142857142,4457.142857142857,0.22349358974358974
2020-07-08,36346,951,134000.0,0.27123880597014927,1235,30,3800.0,0.325,990.5714285714286,28.571428571428573,4300.0,0.2303654485049834
2020-07-09,37399,978,138500.0,0.270028880866426,1053,27,4500.0,0.234,973.7142857142857,29.285714285714285,4271.428571428572,0.22795986622073577
2020-07-10,38389,1008,143400.0,0.2677057182705718,990,30,4900.0,0.20204081632653062,978.8571428571429,33.285714285714285,4028.5714285714284,0.24297872340425533
2020-07-11,39268,1039,147400.0,0.26640434192672996,879,31,4000.0,0.21975,995.7142857142857,36.0,4114.285714285715,0.24201388888888886
2020-07-12,39932,1076,151300.0,0.2639259748843358,664,37,3900.0,0.17025641025641025,992.4285714285714,37.57142857142857,4000.0,0.24810714285714286
2020-07-13,40930,1122,154700.0,0.2645765998707175,998,46,3400.0,0.29352941176470587,1002.2857142857143,41.0,3957.142857142857,0.2532851985559567
2020-07-14,42081,1173,159000.0,0.2646603773584906,1151,51,4300.0,0.2676744186046512,1045.2857142857142,42.0,3928.5714285714284,0.26607272727272724
2020-07-15,43293,1214,162000.0,0.2672407407407407,1212,41,3000.0,0.404,1085.4285714285713,43.0,3957.142857142857,0.2742960288808664
2020-07-16,44415,1265,166200.0,0.26723826714801446,1122,51,4200.0,0.2671428571428571,1115.0,44.142857142857146,4100.0,0.27195121951219514
2020-07-17,45706,1302,170900.0,0.26744294909303684,1291,37,4700.0,0.2746808510638298,1157.4285714285713,44.57142857142857,4271.428571428572,0.2709698996655518
2020-07-18,46866,1340,175100.0,0.2676527698458024,1160,38,4200.0,0.2761904761904762,1197.5714285714287,43.0,4157.142857142857,0.2880756013745705
2020-07-19,47737,1385,180000.0,0.2652055555555556,871,45,4900.0,0.17775510204081632,1198.2857142857142,42.714285714285715,4257.142857142857,0.2814765100671141
2020-07-20,49032,1434,184600.0,0.2656121343445287,1295,49,4600.0,0.28152173913043477,1218.4285714285713,40.285714285714285,4371.428571428572,0.2787254901960784
2020-07-21,50464,1474,188100.0,0.2682828282828283,1432,40,3500.0,0.40914285714285714,1224.0,41.142857142857146,4228.571428571428,0.28945945945945944
2020-07-22,51681,1513,191800.0,0.26945255474452556,1217,39,3700.0,0.32891891891891895,1193.4285714285713,40.0,4085.7142857142853,0.2920979020979021
2020-07-23,52944,1547,196800.0,0.26902439024390246,1263,34,5000.0,0.2526,1204.142857142857,39.57142857142857,3942.857142857143,0.3053985507246377
2020-07-24,54274,1590,200500.0,0.2706932668329177,1330,43,3700.0,0.35945945945945945,1164.7142857142858,39.285714285714285,3857.142857142857,0.301962962962963
2020-07-25,55220,1620,203700.0,0.27108492881688756,946,30,3200.0,0.295625,1140.857142857143,39.57142857142857,3814.2857142857147,0.2991011235955056
2020-07-26,56166,1662,207600.0,0.2705491329479769,946,42,3900.0,0.24256410256410257,1132.7142857142858,41.0,3742.857142857143,0.30263358778625954
2020-07-27,57185,1709,211600.0,0.27025047258979207,1019,47,4000.0,0.25475,1118.5714285714287,42.714285714285715,3600.0,0.3107142857142857
2020-07-28,58450,1751,214800.0,0.27211359404096835,1265,42,3200.0,0.3953125,1094.7142857142858,41.57142857142857,3471.4285714285716,0.31534979423868315
2020-07-29,59610,1800,218000.0,0.2734403669724771,1160,49,3200.0,0.3625,1111.142857142857,42.57142857142857,3428.5714285714284,0.32408333333333333
2020-07-30,60774,1846,222000.0,0.27375675675675676,1164,46,4000.0,0.291,1122.7142857142858,43.714285714285715,3428.5714285714284,0.32745833333333335
2020-07-31,61937,1881,224800.0,0.275520462633452,1163,35,2800.0,0.41535714285714287,1174.4285714285713,42.285714285714285,3442.857142857143,0.3411203319502074
2020-08-01,62998,1918,227700.0,0.27667105841018885,1061,37,2900.0,0.36586206896551726,1204.142857142857,40.857142857142854,3371.4285714285716,0.35716101694915253
2020-08-02,64025,1968,231600.0,0.2764464594127807,1027,50,3900.0,0.2633333333333333,1249.142857142857,39.42857142857143,3371.4285714285716,0.3705084745762712
2020-08-03,65406,2005,235700.0,0.277496817988969,1381,37,4100.0,0.33682926829268295,1258.857142857143,38.57142857142857,3328.5714285714284,0.37819742489270386
2020-08-04,66879,2037,238400.0,0.2805327181208054,1473,32,2700.0,0.5455555555555556,1268.4285714285713,38.142857142857146,3400.0,0.3730672268907563
2020-08-05,68354,2076,241600.0,0.2829221854304636,1475,39,3200.0,0.4609375,1267.7142857142858,37.42857142857143,3542.857142857143,0.35782258064516126
2020-08-06,69586,2116,245300.0,0.2836771300448431,1232,40,3700.0,0.33297297297297296,1252.5714285714287,36.0,3471.4285714285716,0.3608230452674897
