FECHA,confirmed,deaths,estimation,ratio,new confirmed,new deaths,new estimated,new ratio,new confirmed (7d),new deaths (7d),new estimated (7d),new ratio (7d)
2020-10-30,107197,2110,246300.0,0.435229395046691,2435,33,2200.0,1.106818181818182,1764.0,40.857142857142854,3142.8571428571427,0.5612727272727273
2020-10-31,108286,2148,249700.0,0.43366439727673206,1089,38,3400.0,0.32029411764705884,1745.0,41.0,2914.285714285714,0.5987745098039216
2020-11-01,109501,2199,252100.0,0.4343554145180484,1215,51,2400.0,0.50625,1674.5714285714287,38.42857142857143,2842.8571428571427,0.5890452261306534
2020-11-02,111245,2238,255000.0,0.4362549019607843,1744,39,2900.0,0.6013793103448276,1639.142857142857,36.142857142857146,2728.5714285714284,0.6007329842931938
2020-11-03,112856,2281,257600.0,0.4381055900621118,1611,43,2600.0,0.6196153846153846,1573.7142857142858,37.42857142857143,2785.714285714286,0.564923076923077
2020-11-04,114446,2303,260400.0,0.43950076804915517,1590,22,2800.0,0.5678571428571428,1590.4285714285713,36.714285714285715,2785.714285714286,0.5709230769230769
2020-11-05,116236,2330,263200.0,0.44162613981762916,1790,27,2800.0,0.6392857142857142,1495.5714285714287,34.57142857142857,2857.1428571428573,0.52345
2020-11-06,118213,2372,265800.0,0.44474416854778026,1977,42,2600.0,0.7603846153846154,1449.7142857142858,32.142857142857146,2857.1428571428573,0.5074
2020-11-07,119419,2405,269200.0,0.4436069836552749,1206,33,3400.0,0.3547058823529412,1459.0,30.857142857142858,2871.4285714285716,0.5081094527363184
2020-11-08,119970,2441,272100.0,0.4409040793825799,551,36,2900.0,0.19,1473.0,31.142857142857142,2771.4285714285716,0.5314948453608247
2020-11-09,121393,2463,275000.0,0.4414290909090909,1423,22,2900.0,0.4906896551724138,1448.5714285714287,31.428571428571427,2714.285714285714,0.5336842105263159
2020-11-10,123069,2497,277700.0,0.44317248829672307,1676,34,2700.0,0.6207407407407407,1405.2857142857142,29.142857142857142,2757.1428571428573,0.5096891191709844
2020-11-11,124757,2521,279800.0,0.44587919942816295,1688,24,2100.0,0.8038095238095239,1376.142857142857,28.428571428571427,2585.714285714286,0.5322099447513812
2020-11-12,126376,2550,282200.0,0.44782423812898653,1619,29,2400.0,0.6745833333333333,1383.2857142857142,27.285714285714285,2528.5714285714284,0.5470621468926554
2020-11-13,128050,2576,285100.0,0.4491406524026657,1674,26,2900.0,0.5772413793103448,1397.4285714285713,27.857142857142858,2471.4285714285716,0.5654335260115606
2020-11-14,129052,2604,287300.0,0.44918900104420467,1002,28,2200.0,0.45545454545454545,1378.142857142857,27.857142857142858,2357.1428571428573,0.5846666666666666
2020-11-15,129653,2632,289800.0,0.4473878536922015,601,28,2500.0,0.2404,1388.4285714285713,28.571428571428573,2185.714285714286,0.6352287581699346
2020-11-16,131175,2658,292300.0,0.44876838864180635,1522,26,2500.0,0.6088,1392.142857142857,28.571428571428573,2114.285714285714,0.658445945945946
2020-11-17,132716,2692,294200.0,0.45110808973487426,1541,34,1900.0,0.8110526315789474,1392.857142857143,28.714285714285715,1942.8571428571427,0.7169117647058825
2020-11-18,134476,2721,295100.0,0.45569637411047104,1760,29,900.0,1.9555555555555555,1367.4285714285713,27.714285714285715,1928.5714285714284,0.709037037037037
2020-11-19,136121,2750,297000.0,0.4583198653198653,1645,29,1900.0,0.8657894736842106,1378.7142857142858,27.142857142857142,1857.1428571428573,0.7423846153846153
2020-11-20,137800,2777,298700.0,0.4613324405758286,1679,27,1700.0,0.9876470588235294,1319.5714285714287,27.571428571428573,1742.8571428571427,0.7571311475409838
