TYPE,PROVINCIA,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12
ACTIVOS,BUENOS AIRES,0,0,1,2,2,3,3,4,5,9,10,11,12,13,15,20,35,44,57,65,70,99,129,139,172,181,196,230,247,255,289,308,333,365,375,405,421,442,460,494,517,545,609,670,695,727,756,803,845,901,957,1037,1094,1186,1240,1289,1331,1432,1496,1527,1570,1605,1636,1693,1751,1795,1867,1923,1971,2011,2089,2181,2249,2333,2428,2499,2590,2745,2918,3122,3382,3667,3861,4016,4242,4554,4848,5116,5410,5658,5905,6385,6821,7233,7596,8051,8417,8746,9278,9893,10630,11363
ACTIVOS,CABA,1,1,1,5,5,7,8,9,10,13,12,19,25,30,34,43,51,60,67,79,77,107,125,140,169,184,197,231,250,259,283,311,345,376,389,411,427,446,456,499,506,515,535,561,573,586,599,614,635,665,702,738,813,864,895,925,973,1004,1047,1072,1124,1171,1210,1266,1366,1441,1565,1646,1809,1944,2131,2304,2449,2663,2852,2997,3160,3379,3634,4011,4409,4804,5295,5663,5986,6343,6765,7157,7614,7967,8233,8601,9063,9488,9895,10356,10712,11123,11653,12165,12694,13255
ACTIVOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTIVOS,CHACO,0,0,0,0,0,0,2,2,2,4,3,4,6,9,10,11,13,14,19,26,30,38,49,51,52,57,61,73,75,87,89,96,104,104,108,112,127,132,137,137,138,141,171,178,188,210,234,239,243,248,255,265,271,278,281,290,290,293,296,308,316,320,324,335,343,369,395,404,436,452,461,478,486,510,530,547,558,588,622,654,679,684,702,711,732,746,773,798,818,831,831,859,864,916,944,963,980,1024,1050,1095,1142,1178
ACTIVOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,10,10,10,10,11,11,14,15,20,21,26,26,26,29
ACTIVOS,CORDOBA,0,0,0,1,1,1,1,1,1,2,2,3,3,3,5,6,9,14,18,26,28,35,50,52,53,54,72,80,93,99,115,129,132,136,143,147,148,153,166,198,202,205,216,221,234,240,242,252,250,250,254,256,257,257,260,259,260,261,263,276,287,286,290,289,294,298,300,306,311,325,327,338,342,345,354,372,392,401,402,414,422,422,428,427,427,426,426,426,426,428,427,428,428,430,431,430,430,431,433,438,441,449
ACTIVOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,31,31,31,31,31,31,34,34,34,35,39,40,46,46,47,47,48,48,48,48,48,48,51,52,53,54,54,70,71,76,78,78,78,78,78,78,78,78,78,78,78,78,78,80,81,87,87,88,94,96,96,96,96,96,96,96,97,97,100,100
ACTIVOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,10,10,10,13,13,14,16,18,18,19,19,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,25,25,27,27,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,31,31,31,33,35,35,39,49,51,53,55,59,65,69
ACTIVOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACTIVOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8
